 start_time,end_time,servce_provider,longi,lati,upload_speed,download_speed,delay,bandwith_1,earfcn_1,physical_cell_id_1,plmn_1,global_cell_id_1,ecgi_1,rsrp_1,rsrq_1,sinr_1,bandwith_2,earfcn_2,physical_cell_id_2,plmn_2,global_cell_id_1,ecgi_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 20_28_12.346069,2022-06-14 20_28_46.783669,JIO,NA,NA,6.37366254156969,13.2909413421761,67.057,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-14dB,19dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-14dB,17dB,0
2022-06-14 20_29_12.369897,2022-06-14 20_29_43.162191,JIO,NA,NA,6.04620967835028,18.0737438591441,59.454,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-9dB,6dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-9dB,10dB,0
2022-06-14 20_31_14.886030,2022-06-14 20_31_54.971685,JIO,NA,NA,5.62888831757285,15.5195932950967,56.922,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-10dB,17dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-86dBm,-10dB,5dB,0
2022-06-14 20_32_22.405475,2022-06-14 20_32_55.489837,JIO,NA,NA,3.83018863503254,12.5253491989719,63.263,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,13dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,22dB,1
2022-06-14 20_34_42.802303,2022-06-14 20_35_16.744802,JIO,NA,NA,5.84304394540053,9.14178402887061,66.635,20MHz,38948,129,405854,2001941,405854006f01e8c15,-86dBm,-10dB,21dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-85dBm,-10dB,7dB,1
2022-06-14 20_35_48.211880,2022-06-14 20_36_43.550613,JIO,NA,NA,6.02436367714634,14.7070232643086,55.011,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-10dB,19dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-10dB,19dB,1
2022-06-14 20_38_26.494382,2022-06-14 20_38_57.254747,JIO,NA,NA,18.1643992179017,10.4242190579261,48.657,1OMHz,2453,161,405854,2001970,405854006f01 e8c32,-90dBm,-10dB,21dB,1OMHz,2453,161,405854,2001970,405854006f01 e8c32,-87dBm,-10dB,19dB,1
2022-06-14 20_40_48.562689,2022-06-14 20_41_17.865171,JIO,NA,NA,5.67668681478888,23.2606033587108,58.247,20MHz,38750,350,405854,2001938,405854006f01e8c12,-88dBm,-10dB,20dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-88dBm,-10dB,22dB,1
2022-06-14 20_42_36.761499,2022-06-14 20_43_17.265800,JIO,NA,NA,4.40895510756781,14.096080500543,81.417,20MHz,38750,350,405854,2001938,405854006f01e8c12,-92dBm,-10dB,13dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-86dBm,-10dB,17dB,2
2022-06-14 20_44_39.165776,2022-06-14 20_45_13.307430,JIO,NA,NA,6.17536815273886,15.8235847451068,55.017,20MHz,38750,350,405854,2001938,405854006f01e8c12,-82dBm,-10dB,10dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-82dBm,-10dB,23dB,2
2022-06-14 20_45_20.187463,2022-06-14 20_46_03.853377,JIO,NA,NA,6.14804666352658,19.3872677169055,80.988,20MHz,38750,350,405854,2001938,405854006f01e8c12,-87dBm,-10dB,19dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-87dBm,-10dB,18dB,2
2022-06-14 20_46_13.094607,2022-06-14 20_46_44.851174,JIO,NA,NA,5.74963071231525,19.9171645887529,63.775,20MHz,38750,350,405854,2001938,405854006f01e8c12,-87dBm,-10dB,19dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-88dBm,-10dB,19dB,2
2022-06-14 20_48_40.407309,2022-06-14 20_49_17.350596,JIO,NA,NA,5.16380260373827,10.4228470775188,62.346,20MHz,38750,350,405854,2001938,405854006f01e8c12,-88dBm,-11dB,16dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-89dBm,-11dB,17dB,2
